field,comparisons,exact_matches,disagreements,agreement_percent
fecha_literal,60,60,0,100.00
mes_resuelto,60,60,0,100.00
dia_resuelto,60,60,0,100.00
nombre_alumno,60,56,4,93.33
edad,60,60,0,100.00
domicilio,60,59,1,98.33
nacionalidad_alumno_literal,60,60,0,100.00
nacionalidad_alumno_resuelta,60,60,0,100.00
curso,60,60,0,100.00
procedencia_literal,60,60,0,100.00
procedencia_resuelta,60,60,0,100.00
padre_tutor,60,60,0,100.00
profesion_tutor_literal,60,60,0,100.00
profesion_tutor_resuelta,60,60,0,100.00
nacionalidad_tutor_literal,60,60,0,100.00
nacionalidad_tutor_resuelta,60,60,0,100.00
observaciones,60,60,0,100.00
legibilidad,60,60,0,100.00
