escenario,campo,coincidencias,discrepancias,comparaciones,concordancia_pct
estricto_resuelto_tipado,fecha,180,0,180,100.0
estricto_resuelto_tipado,nombre_alumno,169,11,180,93.8889
estricto_resuelto_tipado,edad,173,7,180,96.1111
estricto_resuelto_tipado,domicilio,160,20,180,88.8889
estricto_resuelto_tipado,curso,169,11,180,93.8889
estricto_resuelto_tipado,padre_tutor,149,31,180,82.7778
estricto_resuelto_tipado,observaciones,180,0,180,100.0
estricto_resuelto_tipado,nacionalidad_alumno,162,18,180,90.0
estricto_resuelto_tipado,procedencia,173,7,180,96.1111
estricto_resuelto_tipado,profesion_tutor,167,13,180,92.7778
estricto_resuelto_tipado,nacionalidad_tutor,159,21,180,88.3333
minusculas_y_espacios,fecha,180,0,180,100.0
minusculas_y_espacios,nombre_alumno,170,10,180,94.4444
minusculas_y_espacios,edad,173,7,180,96.1111
minusculas_y_espacios,domicilio,160,20,180,88.8889
minusculas_y_espacios,curso,169,11,180,93.8889
minusculas_y_espacios,padre_tutor,149,31,180,82.7778
minusculas_y_espacios,observaciones,180,0,180,100.0
minusculas_y_espacios,nacionalidad_alumno,168,12,180,93.3333
minusculas_y_espacios,procedencia,173,7,180,96.1111
minusculas_y_espacios,profesion_tutor,168,12,180,93.3333
minusculas_y_espacios,nacionalidad_tutor,160,20,180,88.8889
normalizacion_formal,fecha,180,0,180,100.0
normalizacion_formal,nombre_alumno,170,10,180,94.4444
normalizacion_formal,edad,173,7,180,96.1111
normalizacion_formal,domicilio,160,20,180,88.8889
normalizacion_formal,curso,169,11,180,93.8889
normalizacion_formal,padre_tutor,149,31,180,82.7778
normalizacion_formal,observaciones,180,0,180,100.0
normalizacion_formal,nacionalidad_alumno,169,11,180,93.8889
normalizacion_formal,procedencia,173,7,180,96.1111
normalizacion_formal,profesion_tutor,168,12,180,93.3333
normalizacion_formal,nacionalidad_tutor,161,19,180,89.4444
principal_sin_recodificacion_nacionalidad,fecha,180,0,180,100.0
principal_sin_recodificacion_nacionalidad,nombre_alumno,170,10,180,94.4444
principal_sin_recodificacion_nacionalidad,edad,173,7,180,96.1111
principal_sin_recodificacion_nacionalidad,domicilio,160,20,180,88.8889
principal_sin_recodificacion_nacionalidad,curso,171,9,180,95.0
principal_sin_recodificacion_nacionalidad,padre_tutor,149,31,180,82.7778
principal_sin_recodificacion_nacionalidad,observaciones,180,0,180,100.0
principal_sin_recodificacion_nacionalidad,nacionalidad_alumno,169,11,180,93.8889
principal_sin_recodificacion_nacionalidad,procedencia,173,7,180,96.1111
principal_sin_recodificacion_nacionalidad,profesion_tutor,168,12,180,93.3333
principal_sin_recodificacion_nacionalidad,nacionalidad_tutor,161,19,180,89.4444
principal_sin_canonizacion_curso,fecha,180,0,180,100.0
principal_sin_canonizacion_curso,nombre_alumno,170,10,180,94.4444
principal_sin_canonizacion_curso,edad,173,7,180,96.1111
principal_sin_canonizacion_curso,domicilio,160,20,180,88.8889
principal_sin_canonizacion_curso,curso,169,11,180,93.8889
principal_sin_canonizacion_curso,padre_tutor,149,31,180,82.7778
principal_sin_canonizacion_curso,observaciones,180,0,180,100.0
principal_sin_canonizacion_curso,nacionalidad_alumno,177,3,180,98.3333
principal_sin_canonizacion_curso,procedencia,173,7,180,96.1111
principal_sin_canonizacion_curso,profesion_tutor,168,12,180,93.3333
principal_sin_canonizacion_curso,nacionalidad_tutor,166,14,180,92.2222
principal_reportado,fecha,180,0,180,100.0
principal_reportado,nombre_alumno,170,10,180,94.4444
principal_reportado,edad,173,7,180,96.1111
principal_reportado,domicilio,160,20,180,88.8889
principal_reportado,curso,171,9,180,95.0
principal_reportado,padre_tutor,149,31,180,82.7778
principal_reportado,observaciones,180,0,180,100.0
principal_reportado,nacionalidad_alumno,177,3,180,98.3333
principal_reportado,procedencia,173,7,180,96.1111
principal_reportado,profesion_tutor,168,12,180,93.3333
principal_reportado,nacionalidad_tutor,166,14,180,92.2222
